"","logFC","logCPM","PValue","FDR"
"YGL189C",0.573092676892948,10.3729620226834,2.11582931307969e-90,1.00962597141069e-88
"YBR093C",-1.60157625536533,6.88682633002626,4.03238253872994e-90,1.9087685985332e-88
"YDR155C",-0.4635622764632,11.4111763005279,5.15551113536335e-90,2.42104439586865e-88
"YKL182W",-0.708806185048233,9.50839202066003,1.02110181804823e-89,4.75736965148926e-88
"YAL003W",-0.599949440263887,9.68456890970926,1.71468277181548e-89,7.92638903190016e-88
"YER055C",-1.0442144253443,8.4156869150087,8.71057198535753e-88,3.99538406491167e-86
"YBR212W",0.980692938990002,8.38932121018713,2.36917645095231e-84,1.07833977386806e-82
"YLR108C",2.44571332313212,6.35633158782724,6.7700724043014e-84,3.0579021691795e-82
"YGR008C",-1.01634992643575,8.10536996720366,8.96262619503147e-84,4.01756509060615e-82
"YAL044C",-1.49342324662844,7.14340940328631,1.09804169680481e-82,4.88504715789029e-81
"YER145C",0.950657420888091,8.5290213340237,1.84814056627585e-82,8.1607818885479e-81
"YBR162C",0.582827456420685,10.0296242435163,2.21669434712556e-82,9.7156892236607e-81
"YFR055W",-1.67676969451802,6.81527913592916,2.27029897284915e-82,9.87746986937382e-81
"YHR146W",1.20721954499251,7.93269070281452,2.64569440442742e-82,1.14266961978081e-80
"YHR219W",0.96160056002082,9.73141166698854,5.2740302222656e-82,2.26133600182214e-80
"YBR009C",0.729425257480346,9.19754268013214,5.97669423354902e-82,2.54417984028126e-80
"YKR039W",1.72703144166013,7.35220239847711,1.64013851083949e-81,6.93192826331234e-80
"YKL104C",0.904109528131136,8.54722681720034,3.31185301596693e-79,1.389803850743e-77
"YFL054C",1.68555963473462,7.42211948151705,5.35785185686799e-79,2.23256404486534e-77
"YDR399W",-1.4721411752371,7.07010538214983,6.5026100687842e-79,2.69062543895078e-77
"YGR204W",-0.536094937766664,9.80846394189097,4.78697610854199e-78,1.96698178015576e-76
"YKL065C",1.05915495680275,8.09584633428591,6.41065574821364e-78,2.6159896594607e-76
"YEL044W",1.4014992519343,7.43661215244006,1.78723329490562e-77,7.24319137394285e-76
"YDR224C",0.620619160539198,9.50002312245685,4.83943310260208e-77,1.94795412708139e-75
"YOR375C",0.559953207191941,9.84538845887305,4.29783401791421e-76,1.71826242459448e-74
"YOR230W",-0.812647839603707,8.76318621759393,1.41780832137988e-75,5.63031666953339e-74
"YHR216W",-1.04329175755218,8.08292300529431,1.61966623315014e-75,6.38904340103291e-74
"YGL147C",-0.428279713012415,10.4894559716769,4.55540763349921e-75,1.78505609055727e-73
"YJR009C",0.19767507934885,13.2824008411387,5.5077648584408e-75,2.14404241232857e-73
"YLR348C",0.990673965028732,8.19127462694764,5.86122775003562e-75,2.26672448346149e-73
"YHL050C",2.24177116803852,7.16474497755768,1.33357674556521e-74,5.12387896331776e-73
"YPL163C",-1.32546080984281,7.11468561215829,3.76181758342395e-74,1.43604352523352e-72
"YKR057W",-0.534996399642884,9.8336391630875,5.22971868231373e-73,1.98360547713143e-71
"YLR332W",1.00238754794096,8.14580979319975,1.34254553195721e-72,5.05977191884766e-71
"YGR086C",0.479520879355014,10.1173179957566,1.03107317902321e-71,3.8613037976458e-70
"YDR044W",-1.15560643968378,7.48556005884785,1.19765369124849e-71,4.45692886233795e-70
"YMR189W",-1.71013530502729,6.36946088093015,1.33715044458694e-71,4.94494948788807e-70
"YMR056C",2.38382776781437,6.21221609374297,4.33778877636318e-71,1.59420473228204e-69
"YPL231W",-0.403651654787924,10.8372102443984,3.05250221746859e-70,1.11491701362726e-68
"YIL117C",1.37979813246163,7.57648624269105,4.50243325213858e-69,1.63441089281619e-67
"YBR048W",-0.496222273044881,9.91399310909593,6.72283470729581e-69,2.42554957091886e-67
"YDR516C",-0.561624150297464,10.0388480099878,7.43405409118698e-69,2.66589685197293e-67
"YDR452W",0.973341940249324,8.21144732723019,2.15288031018416e-68,7.67385108154197e-67
"YGL062W",0.993504746416587,8.2571667444519,2.88775647281511e-68,1.02316497303275e-66
